THUMB_pos_X;THUMB_pos_Y;THUMB_pos_Z;MIDDLE_pos_X;MIDDLE_pos_Y;MIDDLE_pos_Z;Distance;MIDDLE_vel;MIDDLE_acc
765,04;214,64;80,6;795,33;235,74;55,66;44,55;962,87;8930,21
768,06;223,04;82,42;797,81;244,37;59,24;43,32;978,75;9627,84
770,99;231,61;83,53;800,35;253,57;62;42,52;1006,36;10087,5
773,8;240,18;83,76;802,85;263,27;63,98;42,05;1069,44;10386,98
776,09;248,82;83,71;805,67;274,06;65,02;43,15;1128,21;8807,6
778,05;257,28;82,81;808,51;285,05;65,57;44,67;1147,83;6451,38
779,68;265,4;81,28;811,35;296,31;65,39;47,01;1166,93;4493,44
781,11;273,2;78,82;814,69;307,54;64,61;50,09;1157,62;4497,36
781,9;280,58;75,89;817,86;318,44;63,44;53,68;1101,12;7131,03
782,54;287,69;72,74;820,86;328,56;62,43;56,97;1012,73;6685,03
783,16;294,71;69,64;823,22;337,85;61,25;59,46;930,27;8407,7
785,35;301,19;65,4;825,23;346,51;60,18;60,59;854,27;8404,45
785,86;307,9;62,6;826,81;354,39;58,95;62,06;784,89;7441,55
786,29;314,13;59,77;828,06;361,68;57,32;63,34;746,19;6651,02
786,32;319,89;56,87;829,38;368,79;56;65,17;680,7;5993,35
786,06;325,19;53,84;830,48;374,62;53,84;66,46;629,23;6019,68
785,68;329,9;50,79;831,37;380,38;51,51;68,09;605,55;5817,54
784,46;334,34;48;832,14;385,62;49,05;70,03;564,95;6536,88
783,48;337,86;44,94;832,56;390,39;46,41;71,91;525,3;7502,54
782,14;340,88;41,97;832,72;394,62;43,66;73,82;475,33;7242,08
780,61;343,62;39,35;832,25;398,21;41,01;75,17;433,63;8010,52
779,01;345,97;37,26;830,94;401,27;38,39;75,87;416,23;7865
777,15;348,1;35,46;828,79;403,84;35,94;75,99;403,71;6947,66
775,22;349,82;33,86;826,36;405,93;33,65;75,92;386,07;5984,69
773,23;351,12;32,27;823,85;407,52;31,3;75,79;384,77;4781,07
771,16;352,04;30,77;821,07;408,72;28,8;75,55;398,65;4073,7
769,02;352,64;29,36;818,1;409,33;26,07;75,06;391,1;3635,08
766,94;352,9;27,97;815,25;409,74;23,68;74,72;372,76;3287,01
765,04;352,99;26,49;812,22;409,87;21,53;74,07;362,2;3246,93
763,06;352,94;25,13;809,33;409,68;19,51;73,43;346,91;3114,33
761,17;352,63;24,03;806,42;409,32;17,76;72,8;338,22;3153,73
759,3;352,26;22,9;803,5;408,78;16,19;72,07;334,29;2333,03
757,75;351,81;21,92;800,58;408,11;14,74;71,1;313,9;2538,08
756,11;351,41;21,06;798,02;407,29;13,52;70,25;280,36;2512,7
754,66;350,86;20,24;795,8;406,39;12,36;69,56;261,86;2463,45
753,32;350,44;19,65;793,65;405,36;11,37;68,64;257,59;2474,58
752,22;349,98;19,01;791,61;404,31;10,2;67,68;236,76;3177,94
751,29;349,61;18,52;789,89;403,23;9,43;66,69;208,43;3608,66
750,49;349,23;18,03;788,42;402,16;8,59;65,8;188,19;3955,93
749,7;348,81;17,39;787,11;401,3;7,78;65,18;125,71;3822,16
749,15;348,4;16,92;786,26;401,17;7,79;65,15;67,16;3234,73
748,71;348,02;16,08;785,79;401,11;7,85;65,28;41,76;2240,48
748,55;347,77;15,27;785,44;401;7,8;65,19;43,73;1437,03
748,71;347,72;14,54;784,95;400,86;7,77;64,68;55,26;414,44
749,16;347,94;13,58;784,42;400,56;7,8;63,61;55,63;1964,31
749,63;348,22;12,94;784,04;400,22;7,79;62,56;51,69;795,87
749,94;348,68;12,79;783,7;399,82;7,82;61,48;60,09;1049,76
750,48;349,29;12,78;783,25;399,31;7,78;60,01;68,88;1092,75
751,19;350,02;12,61;782,68;398,9;7,8;58,34;77,51;952,94
752,09;350,94;12,55;782,37;398,04;7,69;56,2;73,99;686,04
753,08;351,99;12,53;782,04;397,56;7,82;54,2;75,32;1123,1
754,22;353,08;12,48;781,9;396,62;7,55;51,83;87,77;1600,09
755,33;354,15;12,48;781,49;395,92;7,56;49,53;60,69;1741,97
755,9;354,67;12,46;781,51;395,47;7,59;48,41;27,66;1831,31
756,51;355,27;12,47;781,82;395,47;7,61;47,75;20,2;1316,28
756,78;355,59;12,5;781,91;395,48;7,59;47,41;18,73;1596,8
756,92;355,78;12,47;782,14;395,33;7,48;47,17;16,39;576,4
757,08;356,02;12,43;782,21;395,41;7,48;46,99;9,09;482,79
757,25;356,22;12,42;782,25;395,44;7,38;46,78;8,23;580,57
757,43;356,41;12,38;782,34;395,5;7,41;46,62;12,49;642,04
757,6;356,57;12,36;782,49;395,5;7,39;46,48;18,93;1024,21
757,83;356,63;12,42;782,71;395,44;7,38;46,37;28,25;1743,53
758,12;356,67;12,53;783,03;395,36;7,49;46,29;42,89;2805,21
758,44;356,72;12,88;783,42;395,24;7,81;46,18;76,41;3919,21
758,93;356,69;13,6;784,13;395,17;8,52;46,28;125,44;5382,92
759,68;356,83;14,77;784,93;395,22;9,82;46,21;181,15;7004,56
760,8;356,98;16,62;786,24;395,32;11,47;46,3;255,82;8413,88
762,52;357,41;18,8;788,27;395,59;13,68;46,33;349,3;9909,97
764,97;358,05;21,6;791,11;396,04;16,42;46,41;449,47;11064,5
768,19;358,96;24,86;794,85;396,7;19,7;46,5;563,77;11860,15
772,39;360,18;28,45;799,68;397,62;23,57;46,59;680,93;11970,77
777,67;361,71;32,41;805,49;398,8;27,94;46,57;798,05;11663,23
783,99;363,56;36,68;812,58;400,16;32,63;46,62;912,55;11746,19
791,4;365,71;41,08;820,77;401,71;37,49;46,6;1007,02;11142,16
799,89;368,02;45,42;829,96;403,35;42,3;46,5;1096,84;10409,85
809,41;370,47;49,81;840,26;404,97;47;46,38;1184,74;9680,56
819,62;372,98;54,07;851,47;406,55;51,69;46,34;1267,1;8883,07
830,72;375,46;58,24;863,7;407,94;56,18;46,34;1324,83;8043,35
842,5;377,78;62,12;876,45;409,12;60,15;46,25;1360,97;7253,42
854,82;379,97;65,73;889,77;410,01;63,71;46,13;1395,95;6375,14
867,24;381,95;69,18;903,5;410,56;66,94;46,23;1422,13;6161,76
879,25;383,95;72,76;917,55;410,73;69,76;46,83;1424,83;5628,06
892,81;385,17;75,16;931,53;410,61;72,07;46,43;1432,52;5777,63
905,89;386,17;77,15;945,84;410,35;74,32;46,78;1417;6308,03
918,91;386,86;78,47;959,61;409,5;75,7;46,65;1368,15;7236,47
931,83;387,21;79,17;973,04;408,32;76,5;46,38;1327,84;8616,81
944,2;387,23;78,97;986,02;406,94;76,87;46,28;1277,29;9671,93
956,07;386,81;78,12;998,4;405,29;76,52;46,22;1210,55;11131,45
967,21;386,14;76,53;1009,95;403,51;75,66;46,15;1122,49;11097,35
977,35;385,14;74,59;1020,42;401,63;74,1;46,11;1022,48;11821
986,39;384,06;72,26;1029,71;399,74;71,93;46,07;923,53;11749,51
994,29;382,85;69,93;1037,92;397,89;69,51;46,15;829,32;10968,11
1001,18;381,59;67,35;1045,05;396,16;66,76;46,23;739,2;9870,93
