THUMB_pos_X;THUMB_pos_Y;THUMB_pos_Z;MIDDLE_pos_X;MIDDLE_pos_Y;MIDDLE_pos_Z;Distance;MIDDLE_vel;MIDDLE_acc
1002,81;352,96;77,01;1063,92;373,94;75,91;64,63;649,94;3405,46
999,06;350,79;82,05;1060,45;372,46;81,39;65,11;676,95;3843,59
994,92;348,28;87,19;1056,5;370,88;86,81;65,59;705,63;3419,82
990,42;345,54;92,23;1052,46;369,05;92,51;66,34;735,91;3651,87
985,54;342,53;97,25;1048,06;367,02;98,23;67,15;759,48;4255,62
980,25;339,21;102,23;1043,36;364,81;103,91;68,13;780,35;4477,5
974,67;335,63;107,03;1038,19;362,33;109,38;68,95;813,33;4443,39
968,78;331,72;111,72;1032,79;359,74;115,19;69,97;839,27;5018,04
962,57;327,57;116,31;1026,82;356,83;120,43;70,72;849,19;5026,74
956,17;323,19;120,8;1020,45;353,65;125,14;71,26;858,36;5276,63
949,51;318,61;124,97;1013,92;350,38;129,75;71,98;868,58;4972,97
942,56;313,73;128,7;1007,18;346,83;134,03;72,79;879,67;5479,2
935,41;308,63;131,83;1000,1;343,09;137,83;73,54;890,01;4555,93
927,84;303,21;134,53;992,75;339,26;141,2;74,55;897,35;4548,47
920,07;297,55;136,59;985,12;335,46;144,12;75,67;902,46;5263,72
912,16;291,69;138,09;977,48;331,41;146,75;76,93;909,99;4995,58
904,15;285,67;139,23;969,55;327,26;148,76;78,09;910,55;4767,87
896,32;279,6;139,53;961,7;323,04;150,35;79,24;902,64;5057,78
888,6;273,47;139,75;953,88;318,72;151,49;80,3;904,36;5348,39
881,09;267,45;139,65;945,9;314,39;151,93;80,96;905,78;5471,3
873,62;261,45;139,24;938,01;310,01;151,98;81,65;904,04;5379,91
866,21;255,47;138,72;930,12;305,56;151,55;82,22;913,11;5356,16
858,97;249,51;137,54;922,11;301,15;150,46;82,58;926,86;5007,83
851,73;243,54;136,04;914,03;296,77;148,85;82,94;928,35;4549,5
844,48;237,55;134,13;906,1;292,49;146,81;83,52;926,87;4447,49
837,47;231,64;131,62;898,21;288,24;144,31;83,99;915,49;4481,71
830,05;225,81;128,9;890,66;284,16;141,56;85,08;890,79;4472,48
823,7;220,26;125,51;883,43;280,18;138,47;85,59;870,19;4597,27
817,82;214,96;121,96;876,54;276,31;135,1;85,93;851,09;4331,93
812,38;209,88;118,32;869,94;272,57;131,42;86,11;840;4320,3
807,08;205,34;114,63;863,61;268,93;127,31;86,02;833,65;4123,73
802,16;200,65;110,8;857,48;265,41;122,96;86,03;827,61;4136,97
797,35;196,28;107,01;851,53;262,09;118,29;85,99;815,73;4313,81
792,74;191,94;102,99;845,9;258,9;113,5;86,14;786,54;4643,3
788,4;187,82;98,84;840,79;255,93;108,58;86,48;755,36;5121
783,97;183,97;94,76;836,08;253,18;103,54;87,08;718,8;5266,3
780,11;180,25;90,54;832,03;250,59;98,52;87,78;688,96;4958,57
776,88;176,78;86,16;828,31;248,19;93,32;88,28;669,28;4239,91
773,39;173,75;82,04;825,06;245,92;88,09;88,97;650,11;3204,83
770,1;170,93;78,11;822,17;243,72;82,76;89,62;643,23;2455,82
767,04;168,21;74,19;819,38;241,67;77,35;90,25;633,96;1791,88
764,11;165,59;70,42;816,75;239,69;72,03;90,91;619,42;1836,95
761,3;163,03;66,64;814,22;237,78;66,78;91,59;603,94;1966,56
758,72;160,49;62,87;811,79;235,97;61,67;92,27;579,08;2633,87
756,33;158,11;59,28;809,56;234,18;56,81;92,88;553,2;3243,49
754,04;155,87;55,74;807,56;232,49;52,05;93,54;524,9;3181,73
751,96;153,87;52,48;805,76;230,85;47,61;94,05;488,53;3169,89
